Model,Segment,RMSE,nRMSE,MAE,MAPE,sMAPE_pct,R2,Time_sec
rbf,17,0.00264305391148504,0.000806888398696097,0.00205875546813707,0.0165832477197399,0.0165833573804719,0.998001673587101,0.0012493
rbf_arima,17,0.00264305391148504,0.000806888398696097,0.00205875546813707,0.0165832477197399,0.0165833573804719,0.998001673587101,0.0711347
arima,17,0.0743096716169347,0.0226857317128775,0.0415134424711137,0.33498853354331,0.333220214037502,-0.579592523632243,0.241723
rbf,18,0.000734415123420967,0.000224206944981453,0.000613992479411666,0.00501684865925423,0.00501692158071572,0.999901643136129,0.0012577
rbf_arima,18,0.000734415123420967,0.000224206944981453,0.000613992479411666,0.00501684865925423,0.00501692158071572,0.999901643136129,0.0734499
arima,18,0.00845175141593493,0.00258020471566904,0.00638001466885759,0.0524131159730473,0.0523891435718033,0.986973885844369,0.2115535
rbf,19,0.000712079875278171,0.000217388297609143,0.000620742620186654,0.00519973207121175,0.00519969744761415,0.999951412674181,0.0010409
rbf_arima,19,0.000712079875278171,0.000217388297609143,0.000620742620186654,0.00519973207121175,0.00519969744761415,0.999951412674181,0.0755667
arima,19,0.101102105406506,0.0308650972202165,0.0815231243795969,0.68716576943168,0.683538130856645,0.020541651892697,0.2543989
rbf,20,0.00062563778581817,0.000190998703798271,0.000540586412431132,0.0046840430722005,0.00468411363309935,0.999966877412397,0.0010897
rbf_arima,20,0.00062563778581817,0.000190998703798271,0.000540586412431132,0.0046840430722005,0.00468411363309935,0.999966877412397,0.0780978
arima,20,0.0236296503311803,0.00721381074923362,0.0180407304389497,0.157227357597533,0.157014559675246,0.952750968946201,0.2203376
rbf,21,0.000874578800243908,0.000266997008496833,0.000743008763795139,0.00661069932785825,0.00661066114757145,0.999872691469385,0.0009485
rbf_arima,21,0.000874578800243908,0.000266997008496833,0.000743008763795139,0.00661069932785825,0.00661066114757145,0.999872691469385,0.0836737
arima,21,0.0208605649611328,0.00636844666097898,0.0160501918657795,0.143681364744527,0.143790405998943,0.927571123907758,0.2178169
rbf,22,0.000828100223932977,0.000252807731520591,0.000738658368452742,0.00670335322742007,0.00670341810640211,0.999754903938363,0.0009908
rbf_arima,22,0.000828100223932977,0.000252807731520591,0.000738658368452742,0.00670335322742007,0.00670341810640211,0.999754903938363,0.0786912
arima,22,0.00932906728084018,0.00284803731276742,0.00749873143037447,0.0682993124194289,0.068263129252884,0.968893798638237,0.2468198
rbf,23,0.000263312056171812,8.03855882161986e-05,0.000221980082079772,0.00204715765904178,0.00204717540943471,0.99997545550085,0.001015
rbf_arima,23,0.000263312056171812,8.03855882161986e-05,0.000221980082079772,0.00204715765904178,0.00204717540943471,0.99997545550085,0.0783315
arima,23,0.0126389092604841,0.00385848703658386,0.00977111297257256,0.0905291769614067,0.0904604801132025,0.943450095309884,0.2196014
rbf,24,0.00112747367144435,0.0003442023718739,0.000934880183607293,0.0086563076511065,0.00865633562761186,0.999771872332719,0.0009646
rbf_arima,24,0.00112747367144435,0.0003442023718739,0.000934880183607293,0.0086563076511065,0.00865633562761186,0.999771872332719,0.0794687
arima,24,0.172498926689498,0.052661575357379,0.126365692810133,1.16433961834324,1.17707010278604,-4.33995916273253,0.2224215
rbf,25,0.000547616096449563,0.000167179743570242,0.00047426360179769,0.00427174272266846,0.00427170276657351,0.999971930600524,0.0010596
rbf_arima,25,0.000547616096449563,0.000167179743570242,0.00047426360179769,0.00427174272266846,0.00427170276657351,0.999971930600524,0.0772669
arima,25,0.0218861565470974,0.00668154581832845,0.0171631562532105,0.1532047065602,0.153394894106063,0.955164737826574,0.2133431
rbf,26,0.000491102818534515,0.000149927008722953,0.000440652206255147,0.003865124609879,0.00386511262469695,0.999913178765622,0.0011165
rbf_arima,26,0.000491102818534515,0.000149927008722953,0.000440652206255147,0.003865124609879,0.00386511262469695,0.999913178765622,0.0816632
arima,26,0.0739074304676341,0.0225629329627505,0.0630839998648261,0.551801521593628,0.549725179628473,-0.966334095438026,0.2163075
rbf,27,0.000919517387191291,0.000280716147672948,0.00076788783357357,0.00666314963617184,0.00666313306037665,0.999172543060052,0.0010537
rbf_arima,27,0.000919517387191291,0.000280716147672948,0.00076788783357357,0.00666314963617184,0.00666313306037665,0.999172543060052,0.1016308
arima,27,0.0775203932785439,0.0236659213521948,0.0471756244122177,0.410200191085901,0.407938438815989,-4.88108485886008,0.2410736
rbf,28,0.00102314780956908,0.00031235310566509,0.000836685679383287,0.00744805457779577,0.00744826003687914,0.999910673428459,0.0009917
rbf_arima,28,0.00102314780956908,0.00031235310566509,0.000836685679383287,0.00744805457779577,0.00744826003687914,0.999910673428459,0.0930118
arima,28,0.0379327750574202,0.0115803601247708,0.0293958689528409,0.263030420174088,0.26245293869987,0.877218442192684,0.2213653
rbf,29,0.000930971678688451,0.00028421298702389,0.00077132083960656,0.00697997180675114,0.00697984712662992,0.999357392480088,0.0009649
rbf_arima,29,0.000930971678688451,0.00028421298702389,0.00077132083960656,0.00697997180675114,0.00697984712662992,0.999357392480088,0.0781974
arima,29,0.230894470528445,0.0704889403817727,0.182166990191161,1.64480231511937,1.6668120812827,-38.5275530037242,0.2354248
rbf,30,0.000945146116591322,0.000288540250063122,0.000807221821283536,0.00718786136779256,0.00718784587126661,0.999617862101445,0.0010411
rbf_arima,30,0.000945146116591322,0.000288540250063122,0.000807221821283536,0.00718786136779256,0.00718784587126661,0.999617862101445,0.0781506
arima,30,0.00631454865870977,0.00192774579193208,0.00454241446127834,0.0403856710388077,0.0404008747185764,0.982942835772508,0.2141247
